"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 07 16:04:32 CST 2026","Sat Feb 07 16:04:40 CST 2026","8401","","test_chat","","","","商品问答 - 效果怎么样？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:06:04 CST 2026","Sat Feb 07 16:06:09 CST 2026","5236","","test_chat","","","","商品问答 - 适合什么人群？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:03:57 CST 2026","Sat Feb 07 16:04:32 CST 2026","35342","","test_chat","","","","多轮对话 - 商品链接咨询","
    多轮对话测试：同一个用户连续发送多条消息
    服务端根据 username 自动维护对话历史，客户端只需传当前消息
    支持两种消息类型：
    1. 普通文本消息: {""txt"": ""你好""}
    2. 商品咨询消息: {""txt"": ""商品链接"", ""product"": {""id"": ""..."", ""title"": ""..."", ""url"": ""...""}}
    "
"passed","Sat Feb 07 16:04:40 CST 2026","Sat Feb 07 16:04:46 CST 2026","5506","","test_chat","","","","商品问答 - 如何使用？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:57 CST 2026","Sat Feb 07 16:06:04 CST 2026","6307","","test_chat","","","","商品问答 - 什么材质的？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:06:09 CST 2026","Sat Feb 07 16:06:14 CST 2026","4880","","test_chat","","","","商品问答 - 孕妇可以用吗？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:14 CST 2026","Sat Feb 07 16:05:20 CST 2026","6585","","test_chat","","","","商品问答 - 都有什么卖点？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:49 CST 2026","Sat Feb 07 16:05:57 CST 2026","8236","","test_chat","","","","商品问答 - 如何打开？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:04:59 CST 2026","Sat Feb 07 16:05:04 CST 2026","4904","","test_chat","","","","商品问答 - 使用哪个部位？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:27 CST 2026","Sat Feb 07 16:05:35 CST 2026","7923","","test_chat","","","","商品问答 - 有什么注意事项？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"broken","Sat Feb 07 16:03:52 CST 2026","Sat Feb 07 16:03:56 CST 2026","4577","","test_chat","","","","多轮对话 - 咨询洗发水","
    多轮对话测试：同一个用户连续发送多条消息
    服务端根据 username 自动维护对话历史，客户端只需传当前消息
    支持两种消息类型：
    1. 普通文本消息: {""txt"": ""你好""}
    2. 商品咨询消息: {""txt"": ""商品链接"", ""product"": {""id"": ""..."", ""title"": ""..."", ""url"": ""...""}}
    "
"passed","Sat Feb 07 16:05:20 CST 2026","Sat Feb 07 16:05:27 CST 2026","6604","","test_chat","","","","商品问答 - 都有什么规格？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:04:46 CST 2026","Sat Feb 07 16:04:52 CST 2026","6427","","test_chat","","","","商品问答 - 可以用多长时间？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:11 CST 2026","Sat Feb 07 16:05:14 CST 2026","2653","","test_chat","","","","商品问答 - 保质期多久？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:43 CST 2026","Sat Feb 07 16:05:49 CST 2026","5607","","test_chat","","","","商品问答 - 是正品吗？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:04:52 CST 2026","Sat Feb 07 16:04:59 CST 2026","6800","","test_chat","","","","商品问答 - 成分发一下？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:04 CST 2026","Sat Feb 07 16:05:11 CST 2026","6800","","test_chat","","","","商品问答 - 都有什么味道？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
"passed","Sat Feb 07 16:05:35 CST 2026","Sat Feb 07 16:05:43 CST 2026","8842","","test_chat","","","","商品问答 - 质检报告发一下？","
    自动随机获取商品并提问测试：
    1. 从店铺商品列表中随机选取一个商品
    2. 用商品信息 + 问题发给 AI
    3. 验证 AI 能针对该商品给出回答

    每个问题都是独立的对话（不同 username），且随机选取不同商品
    "
